csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_standard_name,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,errors,sentinels,
DWHC,,,dynamic_integer1d(:),,,DWHC = 1 when DWDIA or DWMHD have been corrected by hand for ASDEX.,,,,manifest,"ASDEX hand-correction flag, no DD equivalent; suggest temporary.",,,,,,,,
DIVNAME,,,constant_string0d(:),STR_0D,divertors/divertor(0)/name,Divertor name for each tokamak.,,Short string identifier (unique for a given device),static,manifest,,identity,,,,,,,divertors/divertor/name
PL,,,dynamic_float1d(:),,,Estimated Loss Power not corrected for charge exchange and unconfined orbit losses in watts.,,,,manifest,,identity,,,,,,,
SELEC2007,,,dynamic_integer1d(:),,,"Flag (=1) marking data included in 2008 paper by Martin, Takizuka, and ITPA CDBM H-mode Threshold Database Working Group.",,,,manifest,,identity,,,,,,,
PFLOSS,,,,,,Amount of neutral beam power in watts that is lost from the plasma through charge exchange and unconfined orbits.,,,,derived,"No summary-level field for CX + orbit losses. Closest DD candidates: (1) distributions/distribution(0)/global_quantities/power_first_orbit (W) – 'Power loss due to first orbit losses' (orbit losses only, not CX); (2) distribution_sources/source/global_quantities/shinethrough/power (shine-through, not what PFLOSS measures). Derivable as PABS − summary/heating_current_drive/power_nbi. Suggest temporary.",,,,,,,[-9.999e-09],
TAUDIA,,s,,structure,summary/global_quantities/tau_energy,Total diamagnetic energy confinement time in seconds: WDIA / (POHM + PABS + PRF - DWDIA).,,Energy confinement time,0,derived,"Derived quantities, however some live in temporary.",,,,,,,[-9.999e-09],summary/global_quantities/tau_energy
TAUMHD,,s,,structure,summary/global_quantities/tau_energy,Total MHD energy confinement time in seconds: WMHD / (POHM + PABS + PRF - DWMHD).,,Energy confinement time,0,derived,"Derived quantities, however some live in temporary.",,,,,,,,summary/global_quantities/tau_energy
TAUTH1,,s,,structure,summary/global_quantities/tau_energy,Thermal energy confinement time in seconds: WKIN / (POHM + PABS + PRF - DWMHD - PFLOSS).,,Energy confinement time,0,derived,"Derived quantities, however some live in temporary.",,,,,,,[-9.999e-09],summary/global_quantities/tau_energy
TAUTH2,,s,,structure,summary/global_quantities/tau_energy,Thermal energy confinement time in seconds: (WMHD - WFFORM) / (POHM + PABS + PRF - DWMHD - PFLOSS).,,Energy confinement time,0,derived,"Derived quantities, however some live in temporary.",,,,,,,,summary/global_quantities/tau_energy
SELDB2,,,,,,Criteria for ITERTHDB2. Same criteria as for SELDB1 are used.,,,,derived,See SELDB1.,,,,,,,,
STTRIGG,,,constant_integer0d(:),,,"Indicates whether the LH transition was triggered by a sawtooth: 1 = yes, 0 = no.",,,,derived,No DD field linking a transition to a sawtooth trigger; suggest temporary.,identity,,,,,,,
PTHRESH,,,,,,"Power threshold as calculated in 2008 paper by Martin, Takizuka, and ITPA CDBM H-mode Threshold Database Working Group.",,,,derived,Derivable from P_LH^2008,,,,,,,,
PLTH_MW,,,,,,Estimated Loss Power corrected for charge exchange and unconfined orbit losses in Megawatts.,,,,derived,,,,,,,,,
ABSBT,,,,,,Absolute value of vacuum toroidal magnetic field (BT) in Tesla at RGEO.,,,,derived,,,,,,,,,
ABSIP_MA,,,,,,Absolute value of plasma current in mega-amperes.,,,,derived,,,,,,,,,
AR,,,,,,Torus aspect ratio. Calculated by dividing the plasma geometrical major radius (RGEO) by the horizontal plasma minor radius (AMIN).,,,,derived,,,,,,,,,
AREACALC,,,,,,Area of plasma cross section in m^2 calculated from geometrical parameters (approximately VOL / (2*pi*RGEO)).,,,,derived,,,,,,,,,
CONFIGs,,,,,,"The plasma configuration where x-point is not specified. Converts CONFIG variants SNT, SNB, SN(L), SNL, SNU, SN(U) all to SN.",,,,derived,,,,,,,,,
CurrDens,,,,,,Current density (IP [MA] / AREACALC) in mega-amps per meter squared.,,,,derived,,,,,,,,,
DIVNAMEnew,,,,,,"Revised divertor name string (from DIVNAME), with no spaces and using the string 'Unknown' where the divertor name is not known.",,,,derived,,,,,,,,,
LnA,,,,,,Natural log of the horizontal plasma minor radius in meters from an MHD equilibrium fit.,,,,derived,,,,,,,,,
